name,year,headline,company,product,category,subject,publication,medium,format,link,description,location
"55 Prime Negroes, Accustomed to the culture of Rice.  By Louis D. De Saussure.",1857,"55 Prime Negroes, Accustomed to the culture of Rice.  By Louis D. De Saussure.",Louis D. De Saussure,,Broadsides Collection,"Children, African/African-American, Slaves",,,advertisements,https://idn.duke.edu/ark:/87924/r44m9318g,"lists slaves ages, abilities and disabilities.",
"Adrian H. Mullers Auction Sale Of Stocks, Bonds, &C.",1857,"Adrian H. Mullers Auction Sale Of Stocks, Bonds, &C.",Adrian H. Muller,,Broadsides Collection,"Price List, Banking and Financial",,,advertisements,https://idn.duke.edu/ark:/87924/r40g3jp9z,,
Jefferson Medical College,1857,Jefferson Medical College,Jefferson Medical College,,Broadsides Collection,Education,,,advertisements,https://idn.duke.edu/ark:/87924/r4jh3fs8w,,
"List Of 17 Rice Field Negroes For Sale By J. S. Ryan, At Public Auction",1857,"List Of 17 Rice Field Negroes For Sale By J. S. Ryan, At Public Auction",J. S. Ryan,,Broadsides Collection,"Children, African/African-American, Slaves",,,advertisements,https://idn.duke.edu/ark:/87924/r4w952d86,"has price of each slave hand written in the margins.  Also lists names, ages and abilities of each slave.",
List Of 24 Rice Field Negroes For Sale By J. S. Ryan At Public Auction,1857,List Of 24 Rice Field Negroes For Sale By J. S. Ryan At Public Auction,J. S. Ryan,,Broadsides Collection,"Children, African/African-American, Slaves",,,advertisements,https://idn.duke.edu/ark:/87924/r4w66c001,"left margin has a list of names, possibly purchasers; right margin has prices scribbled.  Also lists names, ages and abilities of each slave.",
Louisville Hotel,1857,Louisville Hotel,"Kean, Stedman & Co.",,Broadsides Collection,"Price List, Hotels and Restaurants",,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4br8p82m,broadside is a menu of sorts.,
Principles of Hygenic Medication,1857,Principles of Hygenic Medication,"Dr. R. T. Trall, M. D. and M. Nevins M. D., Proprietors",,Broadsides Collection,"Price List, Medical",,,advertisements,https://idn.duke.edu/ark:/87924/r4pk08r3r,,
The American Corn Salve!  Buy Me!  Buy Me!,1857,The American Corn Salve!  Buy Me!  Buy Me!,J. A. Jackson & Co.,,Broadsides Collection,Medical,,,advertisements,https://idn.duke.edu/ark:/87924/r43f4nd07,,
Educational! Pro Bono Publico,1858,Educational! Pro Bono Publico,Eastmans Saint Louis Commercial College,,Broadsides Collection,"Price List, Education and Coed",,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4w952b9s,,
"February, 1858.  Charleston Route to Tennessee and Alabama, and all points on the South Carolina and connecting railroads.",1858,"February, 1858.  Charleston Route to Tennessee and Alabama, and all points on the South Carolina and connecting railroads.","Henry Yonge, Agent",,Broadsides Collection,"Price List, Freight and Shipping",,,advertisements,https://idn.duke.edu/ark:/87924/r4930qk25,ad required two scans to accommodate its length.,
"Glen Haven Water-Cure, Glen Haven, New York.",1858,"Glen Haven Water-Cure, Glen Haven, New York.",Scott Cortland Co.,,Broadsides Collection,Health Resorts,,,"advertisements, woodcuts (prints)",https://idn.duke.edu/ark:/87924/r4dr2r18j,,
Improved Cotton!  Dicksons Select Cotton.,1858,Improved Cotton!  Dicksons Select Cotton.,D. Dickson,,Broadsides Collection,Plants and Seeds,,,advertisements,https://idn.duke.edu/ark:/87924/r4sq8s77h,F-157   includes list of agents in other cities and a note about Hungarian Grass Seed.,
Pedigree,1858,Pedigree,A. W. Hedgpeth,,Broadsides Collection,Animals and Stud,,,advertisements,https://idn.duke.edu/ark:/87924/r41c1w460,regional champion,
Public Sale!,1858,Public Sale!,Estate Sale,,Broadsides Collection,Estate Sale,,,advertisements,https://idn.duke.edu/ark:/87924/r4x34pg9w,two separate estate sales.,
Sparta Academy Lottery of Georgia,1858,Sparta Academy Lottery of Georgia,Samuel Swan & Co.,,Broadsides Collection,"Price List, Gambling",,,advertisements,https://idn.duke.edu/ark:/87924/r45h7dh23,Gambling,
The Mississippi Almanac,1858,The Mississippi Almanac,Mississippi Almanac,,Broadsides Collection,"Price List, Advertising Rates",,,advertisements,https://idn.duke.edu/ark:/87924/r4w08z59b,non-profit advertisements for Mississippi and Alabama,
"Warranted Piano Fortes, For Sale On Trial.",1858,"Warranted Piano Fortes, For Sale On Trial.",J. T. Davis,,Broadsides Collection,Music and Pianos,,,advertisements,https://idn.duke.edu/ark:/87924/r42r3qm1n,lists people who have purchased pianos for reference purposes.,
Arcade Hotel,1859,Arcade Hotel,Arcade Hotel,,Broadsides Collection,"Price List, Hotels and Restaurants",,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4gx46j1c,R. S. Morse mentioned,
Chairs!,1859,Chairs!,A. C. Voglers Furniture Establishment,,Broadsides Collection,Housewares,,,advertisements,https://idn.duke.edu/ark:/87924/r4w952d29,F-337,
Dates of Drawing of the Royal Habana Lottery.,1859,Dates of Drawing of the Royal Habana Lottery.,Don Rodriguez,,Broadsides Collection,Lottery,,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r46971n6h,prize list enclosed.,
Dred!,1859,Dred!,Boston Museum,,Broadsides Collection,Entertainment,,,advertisements,https://idn.duke.edu/ark:/87924/r40g3jp2k,scanned in two parts.,
Fuller House,1859,Fuller House,Fuller House,,Broadsides Collection,"Price List, Hotels and Restaurants",,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r44748g19,,
George Allen,1859,George Allen,George Allen,,Broadsides Collection,Dry Goods,,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4x34pk2v,F-346   in blue ink,
Great Southern Mail Lines Direct,1859,Great Southern Mail Lines Direct,Great Southern Railroad,,Broadsides Collection,"Price List, Transportation & Travel",,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4ws8kb4j,,
"NEGROES, NEGROES.",1859,"NEGROES, NEGROES.",J. F. Moses,,Broadsides Collection,"African/African-American, Slaves",,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4k932w21,F-159,
