name,year,headline,company,product,category,subject,publication,medium,format,link,description,location
Philadelphia Sugar House,1865,Philadelphia Sugar House,"Harris, Stolesbury Co.",Sugars and Syrups,Advertising Ephemera Collection,"Price List, Food",,,"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r40v8c93r,,
The Farmer,1865,The Farmer,The Farmer,,Broadsides Collection,"Price List, Magazines and Newspapers",,,advertisements,https://idn.duke.edu/ark:/87924/r41r6pr1v,small note on the back of the advertisement.,
The Ministers Institute,1865,The Ministers Institute,Executive Committee of the Illinois Baptist Pastoral Union,,Broadsides Collection,Education and Men,,,advertisements,https://idn.duke.edu/ark:/87924/r49p2z022,,
Allison & Addisons Star Brand,1865 to 1866,Allison & Addisons Star Brand,Allison & Addison Manufacturers,Tobacco Manure,Advertising Ephemera Collection,Fertilizers,,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4qr4qd93,A book of testimonials about the product.  selected images.,
"Greenwood Seminary for Young Ladies, Near Lebanon Tennessee.",1866,"Greenwood Seminary for Young Ladies, Near Lebanon Tennessee.",Greenwood Seminary for Young Ladies,,Broadsides Collection,"Children, Education and Women",,,advertisements,https://idn.duke.edu/ark:/87924/r4n58f904,prices for admission and related costs are in text.,
Life and Campaigns of General Robert E. Lee,1866,Life and Campaigns of General Robert E. Lee,National Publishing Co.,,Broadsides Collection,"Price List, Books",,,advertisements,https://idn.duke.edu/ark:/87924/r4m040n8j,,
"New Memphis Theatre.  Third Week Of The Queen of Comedy and Pathos, Miss Laura Keene.",1866,"New Memphis Theatre.  Third Week Of The Queen of Comedy and Pathos, Miss Laura Keene.",Miss Laura Keene and the New Memphis Theatre,,Broadsides Collection,Entertainment,,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4n874p6w,,
Washington College,1866,Washington College,Washington College,,Broadsides Collection,"Price List, Education",,,advertisements,https://idn.duke.edu/ark:/87924/r45719c21,,
"West Tennessee College.  Jackson, Tennessee.",1866,"West Tennessee College.  Jackson, Tennessee.",West Tennessee College,,Broadsides Collection,"Children, Price List, Education and Men",,,advertisements,https://idn.duke.edu/ark:/87924/r4s46jz20,,
Cheap Goods For Cash!!,1867,Cheap Goods For Cash!!,King & Woolf,,Broadsides Collection,Dry Goods,,,advertisements,https://idn.duke.edu/ark:/87924/r4dj5b69c,F-126,
Coyners Springs Female Institute,1867,Coyners Springs Female Institute,Coyners Springs Female Institute,,Broadsides Collection,"Price List, Education and Women",,,advertisements,https://idn.duke.edu/ark:/87924/r4r787f5g,,
E. Balls Improved Reaper and Mower,1867,E. Balls Improved Reaper and Mower,S. M. Brua,reapers and mowers,Advertising Ephemera Collection,"Price List, Farm Machinery",,,"advertisements, engravings (prints)",https://idn.duke.edu/ark:/87924/r4mk66z19,,
Gold Metal Perfumery,1867,Gold Metal Perfumery,R. & G. A. Wright,,Broadsides Collection,Perfumes and Cosmetics,,,advertisements,https://idn.duke.edu/ark:/87924/r49g5j659,,
Good News for the Sick !!,1867,Good News for the Sick !!,Dr. R. Porter,,Broadsides Collection,Medical,,,advertisements,https://idn.duke.edu/ark:/87924/r4kw5989v,lists diseases,
Great Bargains!!  Closing out at Cost!,1867,Great Bargains!!  Closing out at Cost!,Eccles & Douthit,,Broadsides Collection,"Price List, Dry Goods",,,advertisements,https://idn.duke.edu/ark:/87924/r4kw5993d,E-192,
Hermitage,1867,Hermitage,"Samuel Kennerly, Jr. M.D.",,Broadsides Collection,"Price List, Land and Homes",,,advertisements,https://idn.duke.edu/ark:/87924/r4930qm0n,,
Land Agency,1867,Land Agency,Henry & Eastmond,,Broadsides Collection,Land and Homes,,,advertisements,https://idn.duke.edu/ark:/87924/r4s46jz3g,F-264,
Masonic Collegiate Institute,1867,Masonic Collegiate Institute,Masonic Collegiate Institute,,Broadsides Collection,"Price List, Education and Men",,,advertisements,https://idn.duke.edu/ark:/87924/r4w66c23c,Institute is under the patronage of the Masonic Fraternity,
New Orleans Dental College,1867,New Orleans Dental College,New Orleans School of Medicine,,Broadsides Collection,Education and Men,,,advertisements,https://idn.duke.edu/ark:/87924/r49k47h58,provides a list of Trustees and Faculty.,
"Prospectus Southern Society, A Weekly Journal of Literature, Society and Art.",1867,"Prospectus Southern Society, A Weekly Journal of Literature, Society and Art.",Southern Society,,Broadsides Collection,Magazines and Newspapers,,,advertisements,https://idn.duke.edu/ark:/87924/r4g738w1d,prices for subscriptions listed.,
Rip van Winkle,1867,Rip van Winkle,Mobile Theatre,,Broadsides Collection,Entertainment,,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r49884b2r,primary ad on the first page; additional ads throughout other 3 pages,
Savannah Medical College,1867,Savannah Medical College,Savannah Medical College,,Broadsides Collection,"Price List, Education and Men",,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4862d226,lists faculty,
Still Open! The American Hotel,1867,Still Open! The American Hotel,American Hotel,,Broadsides Collection,Hotels and Restaurants,,,advertisements,https://idn.duke.edu/ark:/87924/r48p5x07w,,
The Great Charitable Presentation Concert,1867,The Great Charitable Presentation Concert,Southern Orphan Association,,Broadsides Collection,Charity,,,advertisements,https://idn.duke.edu/ark:/87924/r4kh0gq35,includes Gift List,
Washington Library Co.,1867,Washington Library Co.,Washington Library Co.,,Broadsides Collection,"Price List, Lottery",,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4cc0wj9j,includes Gift List,
Druggists and Apothecaries,1868,Druggists and Apothecaries,Dr. J. J. Lawrence & Co.,,Broadsides Collection,"Price List, Medical",,,advertisements,https://idn.duke.edu/ark:/87924/r4qv3dw5c,in red and blue ink; revised trade circular addressed to druggists in the US and British Provinces,
Edwin Adams!,1868,Edwin Adams!,Mobile Theatre,,Broadsides Collection,Entertainment,,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4cz33z1j,primary ad on the first page; various others throughout both pages,
Fall Trade ! Marcus Harris & Brother,1868,Fall Trade ! Marcus Harris & Brother,Marcus Harris & Brother,,Broadsides Collection,Clothing and Shoes,,,advertisements,https://idn.duke.edu/ark:/87924/r4bn9zt8b,cash only,
"Grady & Tully, Plain & Ornamental Plasterers",1868,"Grady & Tully, Plain & Ornamental Plasterers",Grady & Tully,plastering,Advertising Ephemera Collection,Building Supplies,,,advertisements,https://idn.duke.edu/ark:/87924/r4wh2g452,"note on back of card to Edward Jones from Grady & Tully, with a price quote.",
Immigration Office,1868,Immigration Office,Immigration Office,,Broadsides Collection,"Price List, Labor",,,advertisements,https://idn.duke.edu/ark:/87924/r48s4md6q,travel from NY,
Montgomerys grain fan,1868,Montgomerys grain fan,Borum & MClean,,Broadsides Collection,"Price List, African/African-American, Machinery and Tools",,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4d50hm8n,,
More Whisky for Sale,1868,More Whisky for Sale,J. I. Nissens Store House,,Broadsides Collection,Alcohol,,,advertisements,https://idn.duke.edu/ark:/87924/r4gq6sv6j,,
Mountain Top Hotel,1868,Mountain Top Hotel,Mountain Top Hotel,,Broadsides Collection,"Price List, Hotels and Restaurants",,,advertisements,https://idn.duke.edu/ark:/87924/r4hq3ts0b,,
New Series of English Law Reports,1868,New Series of English Law Reports,Law Booksellers and Publishers,,Broadsides Collection,"Price List, Books",,,advertisements,https://idn.duke.edu/ark:/87924/r45m63z0w,,
The Southern Monthly Magazine,1868,The Southern Monthly Magazine,Southern Monthly Magazine,,Broadsides Collection,"Price List, Magazines and Newspapers",,,advertisements,https://idn.duke.edu/ark:/87924/r41j9903g,,
Useful Hints to the People,1868,Useful Hints to the People,J. B. Hunter & Co.,Various businesses in Portsmouth,Advertising Ephemera Collection,Mercantile Business,,,"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4c24sb15,"""J. B. Hunter & Co., General Commission Merchants, Corner of High and Water Streets, Portsmouth, Virginia.""  Includes wide variety of information, including \Sources of Money Making,\ \To Ascertain the Weight of Live Cattle,\Value of Confederate Money in Richmond...During the War.\",
Family Right,circa 1868,Family Right,H. W. Weedon,Weedons Excelsior Labor-Saving Washing compound,Advertising Ephemera Collection,Toiletries,,,advertisements,https://idn.duke.edu/ark:/87924/r4ww78s68,,
Waits Hudson River Champion,circa 1868,Waits Hudson River Champion,P. H. Wait,Turbine Wheel,Advertising Ephemera Collection,Machinery and Instruments,,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r44t6gs8t,,
Gas Generated from Water,1869,Gas Generated from Water,Howard Tilden,,Broadsides Collection,Machinery and Tools,,,advertisements,https://idn.duke.edu/ark:/87924/r4833pq4b,,
Homes For Immigrants.  Inducements Offered In West Tennessee.,1869,Homes For Immigrants.  Inducements Offered In West Tennessee.,Ford & Bentley,,Broadsides Collection,Land and Homes,,,advertisements,https://idn.duke.edu/ark:/87924/r4833pq0d,item refers to Obion County land.,
"Nebraska, The Garden of the West.  50 Million Acres Of Grain & Grazing Land",1869,"Nebraska, The Garden of the West.  50 Million Acres Of Grain & Grazing Land",Nebraska State Department of Immigration,,Broadsides Collection,Land and Homes,,,advertisements,https://idn.duke.edu/ark:/87924/r4b85577d,"J. H. Noteware, State Superintdent of Immigration specifically mentioned.",
North Carolina College / Mont-Amena Female Seminary,1869,North Carolina College / Mont-Amena Female Seminary,North Carolina College,,Broadsides Collection,"Price List, Education and Coed",,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r47942m36,,
Premium List of the Sumner County Fair,1869,Premium List of the Sumner County Fair,Sumner County,Sumner County Fair,Advertising Ephemera Collection,"Price List, Expositions, Fairs, etc.",,,"advertisements, engravings (prints)",https://idn.duke.edu/ark:/87924/r4hh6dv86,,
Sylvan Academy,1869,Sylvan Academy,Sylvan Academy,,Broadsides Collection,"Price List, Education",,,advertisements,https://idn.duke.edu/ark:/87924/r40r9nw9x,,
The Old North State Forever!,1869,The Old North State Forever!,"E. A. Vogler, Agent",,Broadsides Collection,Paints and Dyes,,,advertisements,https://idn.duke.edu/ark:/87924/r45719c5g,D-53   ad required two scans due to size.,
The Priest and Nun,1869,The Priest and Nun,Crittenden & Mc Kinney,,Broadsides Collection,Books,,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4ms3mq7z,female author,
Trustee Sale,1869,Trustee Sale,John R. Kilby,,Broadsides Collection,Estate Sale,,,advertisements,https://idn.duke.edu/ark:/87924/r4p26rs90,,
"Description, Testimonials and Directions of the Celebrated Home Washer",circa 1869,"Description, Testimonials and Directions of the Celebrated Home Washer",Home Mfg. Co.,Celebrated Home Washer,Advertising Ephemera Collection,Household Appliances,,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4nk37t9z,product: washing machines,
The Southern Marseillaise.,1860s,The Southern Marseillaise.,A. E. Blackmar & Bro.,,Broadsides Collection,"Price List, Music and Pianos",,,advertisements,https://idn.duke.edu/ark:/87924/r43n2241d,Conf. D9,
Dixon House,1870,Dixon House,Dixon House,,Broadsides Collection,Hotels and Restaurants,,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4f18v48g,,
East Bay,1870,East Bay,Gen. C. C. Pinckney,,Broadsides Collection,Estate Sale,,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4tt4hm0k,,
Florida Water,1870,Florida Water,Lanman & Kemp,,Broadsides Collection,Perfumes and Cosmetics,,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4k35p33b,,
General Stonewall Jackson,1870,General Stonewall Jackson,W. W. Bostwick,,Broadsides Collection,Historic Monuments,,,advertisements,https://idn.duke.edu/ark:/87924/r4pv6d112,,
Georgia Screw Co. - Wrights Patent,1870,Georgia Screw Co. - Wrights Patent,Georgia Screw Co. (Agent: W. Chambers),,Broadsides Collection,"Price List, Machinery and Tools",,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4hq3tm9f,,
"Grand, Square and Upright Pianos",1870,"Grand, Square and Upright Pianos",Chickering & Sons,Pianos,Advertising Ephemera Collection,Musical Instruments,,,"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r4w66bz3m,calendar,
"Huntemuller & Cousins, Wholesale Dealers In Fish, Cheese, Vinegar, &c., &c., No. 55 South Street, Baltimore.",1870,"Huntemuller & Cousins, Wholesale Dealers In Fish, Cheese, Vinegar, &c., &c., No. 55 South Street, Baltimore.",Huntemuller & Cousins,,Broadsides Collection,"Price List, Commission Merchants",,,advertisements,https://idn.duke.edu/ark:/87924/r4cc0wh17,,
Improved Alligator Cotton Tie,1870,Improved Alligator Cotton Tie,"W. Chambers, Agent",,Broadsides Collection,Machinery and Tools,,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4wm15h0h,,
J. W. Blackmans Commercial College,1870,J. W. Blackmans Commercial College,J. W. Blackmans Commercial College,,Broadsides Collection,"Price List, Education",,,advertisements,https://idn.duke.edu/ark:/87924/r41835s0n,,
Lands for Sale,1870,Lands for Sale,Col. William B. Whitehead,,Broadsides Collection,Land and Homes,,,advertisements,https://idn.duke.edu/ark:/87924/r4sq8s850,describes location and condition of land,
McLoughlins Toys for Girls and Boys!,1870,McLoughlins Toys for Girls and Boys!,McLoughlin Brothers,,Broadsides Collection,Entertainment,,,advertisements,https://idn.duke.edu/ark:/87924/r4hq3tp7c,,
"Peremptory sale of Stage Coaches, Horses & Harness",1870,"Peremptory sale of Stage Coaches, Horses & Harness",Sheriff of Bath County,,Broadsides Collection,Carriages and Wagons,,,advertisements,https://idn.duke.edu/ark:/87924/r4h41md09,,
Proclamation!,1870,Proclamation!,unknown,,Broadsides Collection,Entertainment,,,advertisements,https://idn.duke.edu/ark:/87924/r44748k05,humorous,
"The Advantages of ""Wrights patent Improved Iron Screw""",1870,"The Advantages of ""Wright\s patent Improved Iron Screw""","W. Chambers, Agent",,Broadsides Collection,Machinery and Tools,,,advertisements,https://idn.duke.edu/ark:/87924/r4pn90420,,
The Men Who Advertise,1870,,"Pacific Railroad, Steinway and Sons, George P. Rowell and Co.",,Early Advertising Publications,"Famous People--P. T. Barnum, Samuel R. Wells, Madame Demorest",,,advertisements,https://idn.duke.edu/ark:/87924/r41v5d33n,E#18154. Images of selected pages from this item are available. Chapter headings:  Phineas T. Barnum -  [Union Pacific Railroad] The Pacific Railroad Advertising -  Samuel R. Wells -  Steinway & Sons -  [Systematic] Advertising -  Writing Advertisements -  Advantages of an Advertising Agency -  Madame Demorest -  The Patent Medicine Business -  Advertising And Its Results -  An Inside View Of An Advertising Agency: Geo. P. Rowell & Co..,
Two Million Acres,1870,Two Million Acres,Alabama & Chattanooga Railroad Co.,,Broadsides Collection,Land and Homes,,,advertisements,https://idn.duke.edu/ark:/87924/r4j96205n,"on bottom, Chattanooga, TN is crossed out and replaced with a city from AL; cant decipher handwriting",
White & Co.,1870,White & Co.,White & Co.,,Broadsides Collection,"Price List, Dry Goods",,,advertisements,https://idn.duke.edu/ark:/87924/r45b00t95,price list for store goods.,
Metamorphic Trade Card,1870 to 1872,,W. T. Blackwell,Blackwells Genuine Durham Tobacco,Tobacco Advertising,"Leaders, Generals, Famous People--Samuel J. Tilden, Ulysses S. Grant",,,"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r4jm2562q,"flip down card depicting likely candidates for the 1872 election, Tilden and Grant (Rutherford B. Hayes actually won the Republican nomination)",
A Very Important Invention!  The Downer Mineral Sperm Oil & Lamps.,circa 1870,A Very Important Invention!  The Downer Mineral Sperm Oil & Lamps.,Downer Kerosene Oil Company,Lamps and Lamp Oil,Advertising Ephemera Collection,Lighting,,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4db7xd4c,Includes testimonials.  Company has a New York office.  also a second company-Corry Kerosene Oil Works in Corry PA.  also lists importers and dealers.,
Important to Farmers and Planters,circa 1870,Important to Farmers and Planters,O. P. Merryman & Co.,Merrymans Raw Bone Super-Phosphate,Advertising Ephemera Collection,Fertilizers,,,"advertisements, engravings (prints)",https://idn.duke.edu/ark:/87924/r4x060302,selected images.,
"Fine Carriages, Wagons, etc.",circa 1870 to circa 1879,"Fine Carriages, Wagons, etc.",Studebaker Bros. Mfg. Co.,Studebaker,Advertising Ephemera Collection,"Carriages, Buggies, etc.",,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4cc0wk6j,"stamped with:  Compliments of ... Augusta, Georgia.  includes color drawing by Gray Parker. [May be found in ""Auto and Roads"" folders.",
"T.C. Bass, Attorney at Law",circa 1870 to circa 1879,"T.C. Bass, Attorney at Law",T. C. Bass,Abstract of Title and General Land Agent,Advertising Ephemera Collection,Attorneys,,,advertisements,https://idn.duke.edu/ark:/87924/r4xd0sr1f,,
"Armstrong, Cator & Co.  237 & 239 W. Baltimore St.",1871,"Armstrong, Cator & Co.  237 & 239 W. Baltimore St.","Armstrong, Cator & Co.",,Broadsides Collection,Clothing and Shoes,,,advertisements,https://idn.duke.edu/ark:/87924/r4mp4xc5k,"clothing list present, but no prices listed.",
Healds Hygeian Home,1871,Healds Hygeian Home,Healds Hygeian Home,,Broadsides Collection,Health Resorts,,,advertisements,https://idn.duke.edu/ark:/87924/r4zg6hz51,,
McCormicks Improved Prize Mower,1871,McCormicks Improved Prize Mower,C. H. McCormick & Bro.,,Broadsides Collection,Machinery and Tools,,,"advertisements, woodcuts (prints)",https://idn.duke.edu/ark:/87924/r4g15w266,"Includes instructions on assembling the mower.  Also lists everything sent in the package when a mower is ordered, including extras.",
New Celebrated Diagram for Dress Cutting,1871,New Celebrated Diagram for Dress Cutting,Mrs. D. A. Inwood,sewing machines and dress cutting diagram,Advertising Ephemera Collection,"Price List, Clothing",,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4nk37w10,includes testimonials,
New Grocery,1871,New Grocery,J. W. Corsbie & Co.,daily provisions,Advertising Ephemera Collection,Food,,,advertisements,https://idn.duke.edu/ark:/87924/r48w39r83,,
